Titre - Devise;ID GEO Devise;Code Devise;Symbole Devise;Pays;Continent;Actif;Ordre Affichage;Validation DSE
Mozambican metical;ID-GEO-DEV-000093;MZN;MT;Mozambique;Afrique;Oui;93;Non
Namibian dollar;ID-GEO-DEV-000094;NAD;$;Namibie;Afrique;Oui;94;Non
Nigerian naira;ID-GEO-DEV-000095;NGN;₦;Nigéria;Afrique;Oui;95;Non
Nicaraguan córdoba;ID-GEO-DEV-000096;NIO;C$;Nicaragua;Amérique du Nord;Oui;96;Non
Norwegian krone;ID-GEO-DEV-000097;NOK;kr;Île Bouvet | Norvège | Svalbard et Jan Mayen;Antarctique | Europe;Oui;97;Non
Nepalese rupee;ID-GEO-DEV-000098;NPR;₨;Népal;Asie;Oui;98;Non
New Zealand dollar;ID-GEO-DEV-000099;NZD;$;Îles Cook | Îles Pitcairn | Niue | Nouvelle-Zélande | Tokelau;Océanie;Oui;99;Non
Omani rial;ID-GEO-DEV-000100;OMR;ر.ع.;Oman;Asie;Oui;100;Non
Panamanian balboa;ID-GEO-DEV-000101;PAB;B/.;Panama;Amérique du Nord;Oui;101;Non
Peruvian sol;ID-GEO-DEV-000102;PEN;S/;Pérou;Amérique du Sud;Oui;102;Non
Papua New Guinean kina;ID-GEO-DEV-000103;PGK;K;Papouasie-Nouvelle-Guinée;Océanie;Oui;103;Non
Philippine peso;ID-GEO-DEV-000104;PHP;₱;Philippines;Asie;Oui;104;Non
Pakistani rupee;ID-GEO-DEV-000105;PKR;₨;Pakistan;Asie;Oui;105;Non
Polish złoty;ID-GEO-DEV-000106;PLN;zł;Pologne;Europe;Oui;106;Non
Paraguayan guaraní;ID-GEO-DEV-000107;PYG;₲;Paraguay;Amérique du Sud;Oui;107;Non
Qatari riyal;ID-GEO-DEV-000108;QAR;ر.ق;Qatar;Asie;Oui;108;Non
Romanian leu;ID-GEO-DEV-000109;RON;lei;Roumanie;Europe;Oui;109;Non
Serbian dinar;ID-GEO-DEV-000110;RSD;дин.;Serbie;Europe;Oui;110;Non
Russian ruble;ID-GEO-DEV-000111;RUB;₽;Russie;Europe;Oui;111;Non
Rwandan franc;ID-GEO-DEV-000112;RWF;FRw;Rwanda;Afrique;Oui;112;Non
Saudi riyal;ID-GEO-DEV-000113;SAR;ر.س;Arabie Saoudite;Asie;Oui;113;Non
Solomon Islands dollar;ID-GEO-DEV-000114;SBD;$;Îles Salomon;Océanie;Oui;114;Non
Seychellois rupee;ID-GEO-DEV-000115;SCR;₨;Seychelles;Afrique;Oui;115;Non
Sudanese pound;ID-GEO-DEV-000116;SDG;ج.س.;Soudan;Afrique;Oui;116;Non
