Titre - Langue;ID GEO Langue;Code Langue;Code ISO 639-1;Pays;Continent;Actif;Ordre Affichage;Validation DSE
Slovène;ID-GEO-LAN-000086;SL;sl;Slovénie;Europe;Oui;86;Non
Samoan;ID-GEO-LAN-000087;SM;sm;Samoa | Samoa américaines;Océanie;Oui;87;Non
Shona;ID-GEO-LAN-000088;SN;sn;Zimbabwe;Afrique;Oui;88;Non
Somali;ID-GEO-LAN-000089;SO;so;Somalie;Afrique;Oui;89;Non
Albanais;ID-GEO-LAN-000090;SQ;sq;Albanie;Europe;Oui;90;Non
Serbe;ID-GEO-LAN-000091;SR;sr;Bosnie-Herzégovine | Monténégro;Europe;Oui;91;Non
Swati;ID-GEO-LAN-000092;SS;ss;Afrique du Sud | Swaziland;Afrique;Oui;92;Non
Sotho du Sud;ID-GEO-LAN-000093;ST;st;Afrique du Sud | Lesotho;Afrique;Oui;93;Non
Suédois;ID-GEO-LAN-000094;SV;sv;Finlande | Suède | Îles Åland;Europe;Oui;94;Non
Swahili;ID-GEO-LAN-000095;SW;sw;Kenya | République démocratique du Congo | Tanzanie | Uganda;Afrique;Oui;95;Non
Tamoul;ID-GEO-LAN-000096;TA;ta;Singapour | Sri Lanka;Asie;Oui;96;Non
Tadjik;ID-GEO-LAN-000097;TG;tg;Tadjikistan;Asie;Oui;97;Non
Thaï;ID-GEO-LAN-000098;TH;th;Thaïlande;Asie;Oui;98;Non
Tigrigna;ID-GEO-LAN-000099;TI;ti;Érythrée;Afrique;Oui;99;Non
Turkmène;ID-GEO-LAN-000100;TK;tk;Afghanistan | Turkménistan;Asie;Oui;100;Non
Tswana;ID-GEO-LAN-000101;TN;tn;Afrique du Sud | Botswana;Afrique;Oui;101;Non
Tongien;ID-GEO-LAN-000102;TO;to;Tonga;Océanie;Oui;102;Non
Turc;ID-GEO-LAN-000103;TR;tr;Chypre | Turquie;Asie | Europe;Oui;103;Non
Tsonga;ID-GEO-LAN-000104;TS;ts;Afrique du Sud;Afrique;Oui;104;Non
Ukrainien;ID-GEO-LAN-000105;UK;uk;Ukraine;Europe;Oui;105;Non
Ourdou;ID-GEO-LAN-000106;UR;ur;Fidji | Pakistan;Asie | Océanie;Oui;106;Non
Ouzbek;ID-GEO-LAN-000107;UZ;uz;Afghanistan | Ouzbékistan;Asie;Oui;107;Non
Venda;ID-GEO-LAN-000108;VE;ve;Afrique du Sud;Afrique;Oui;108;Non
Vietnamien;ID-GEO-LAN-000109;VI;vi;Viêt Nam;Asie;Oui;109;Non
Xhosa;ID-GEO-LAN-000110;XH;xh;Afrique du Sud;Afrique;Oui;110;Non
Chinois;ID-GEO-LAN-000111;ZH;zh;Chine | Hong Kong | Macao | Singapour | Taïwan;Asie;Oui;111;Non
Zoulou;ID-GEO-LAN-000112;ZU;zu;Afrique du Sud;Afrique;Oui;112;Non
