"id";"Title";"IDGeoLangue";"CodeLangue";"CodeISO6391";"Actif";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"OrdreAffichage";"NotesDSE";"Pays";"Continent";"OBJREF";"Modified";"Created";"Author";"Editor"
"32";"Hindi";"ID-GEO-LAN-000032";"HI";"hi";"Oui";"Non";"Non";"Non";"Non";"32";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Fidji | Inde";"Asie | Océanie";"";"09/10/2026 05:49:39";"09/10/2026 05:49:39";"UserId:11";"UserId:11"
"33";"Croate";"ID-GEO-LAN-000033";"HR";"hr";"Oui";"Non";"Non";"Non";"Non";"33";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bosnie-Herzégovine | Croatie";"Europe";"";"09/10/2026 05:49:41";"09/10/2026 05:49:41";"UserId:11";"UserId:11"
"34";"Créole haïtien";"ID-GEO-LAN-000034";"HT";"ht";"Oui";"Non";"Non";"Non";"Non";"34";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Haïti";"Amérique du Nord";"";"09/10/2026 05:49:43";"09/10/2026 05:49:43";"UserId:11";"UserId:11"
"35";"Hongrois";"ID-GEO-LAN-000035";"HU";"hu";"Oui";"Non";"Non";"Non";"Non";"35";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Hongrie";"Europe";"";"09/10/2026 05:49:45";"09/10/2026 05:49:45";"UserId:11";"UserId:11"
"36";"Arménien";"ID-GEO-LAN-000036";"HY";"hy";"Oui";"Non";"Non";"Non";"Non";"36";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Arménie | Azerbaïdjan | Chypre";"Asie | Europe";"";"09/10/2026 05:49:47";"09/10/2026 05:49:47";"UserId:11";"UserId:11"
"37";"Indonésien";"ID-GEO-LAN-000037";"ID";"id";"Oui";"Non";"Non";"Non";"Non";"37";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Indonésie";"Asie";"";"09/10/2026 05:49:49";"09/10/2026 05:49:49";"UserId:11";"UserId:11"
"38";"Islandais";"ID-GEO-LAN-000038";"IS";"is";"Oui";"Non";"Non";"Non";"Non";"38";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Islande";"Europe";"";"09/10/2026 05:49:51";"09/10/2026 05:49:51";"UserId:11";"UserId:11"
"39";"Italien";"ID-GEO-LAN-000039";"IT";"it";"Oui";"Non";"Non";"Non";"Non";"39";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Italie | Saint-Marin | Saint-Siège | Suisse";"Europe";"";"09/10/2026 05:49:53";"09/10/2026 05:49:53";"UserId:11";"UserId:11"
"40";"Japonais";"ID-GEO-LAN-000040";"JA";"ja";"Oui";"Non";"Non";"Non";"Non";"40";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Japon";"Asie";"";"09/10/2026 05:49:55";"09/10/2026 05:49:55";"UserId:11";"UserId:11"
"41";"Géorgien";"ID-GEO-LAN-000041";"KA";"ka";"Oui";"Non";"Non";"Non";"Non";"41";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Géorgie";"Asie";"";"09/10/2026 05:49:57";"09/10/2026 05:49:57";"UserId:11";"UserId:11"
"42";"Kikongo";"ID-GEO-LAN-000042";"KG";"kg";"Oui";"Non";"Non";"Non";"Non";"42";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"République démocratique du Congo";"Afrique";"";"09/10/2026 05:49:59";"09/10/2026 05:49:59";"UserId:11";"UserId:11"
"43";"Kazakh";"ID-GEO-LAN-000043";"KK";"kk";"Oui";"Non";"Non";"Non";"Non";"43";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Kazakhstan";"Asie";"";"09/10/2026 05:50:02";"09/10/2026 05:50:02";"UserId:11";"UserId:11"
"44";"Groenlandais";"ID-GEO-LAN-000044";"KL";"kl";"Oui";"Non";"Non";"Non";"Non";"44";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Groenland";"Amérique du Nord";"";"09/10/2026 05:50:04";"09/10/2026 05:50:04";"UserId:11";"UserId:11"
"45";"Khmer";"ID-GEO-LAN-000045";"KM";"km";"Oui";"Non";"Non";"Non";"Non";"45";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Cambodge";"Asie";"";"09/10/2026 05:50:06";"09/10/2026 05:50:06";"UserId:11";"UserId:11"
"46";"Coréen";"ID-GEO-LAN-000046";"KO";"ko";"Oui";"Non";"Non";"Non";"Non";"46";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Corée du Nord | Corée du Sud";"Asie";"";"09/10/2026 05:50:08";"09/10/2026 05:50:08";"UserId:11";"UserId:11"
"47";"Kurde";"ID-GEO-LAN-000047";"KU";"ku";"Oui";"Non";"Non";"Non";"Non";"47";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Irak";"Asie";"";"09/10/2026 05:50:10";"09/10/2026 05:50:10";"UserId:11";"UserId:11"
"48";"Kirghize";"ID-GEO-LAN-000048";"KY";"ky";"Oui";"Non";"Non";"Non";"Non";"48";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Kirghizistan";"Asie";"";"09/10/2026 05:50:12";"09/10/2026 05:50:12";"UserId:11";"UserId:11"
"49";"Latin";"ID-GEO-LAN-000049";"LA";"la";"Oui";"Non";"Non";"Non";"Non";"49";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Saint-Siège";"Europe";"";"09/10/2026 05:50:14";"09/10/2026 05:50:14";"UserId:11";"UserId:11"
